period,destination_code,destination_iso,destination,export_value_usd,month,year
202303,262,DJI,Djibouti,410509.0,2023-03-01,2023
202303,266,GAB,Gabon,102965.0,2023-03-01,2023
202303,275,PSE,State of Palestine,5255.0,2023-03-01,2023
202303,276,DEU,Germany,1164679620.0,2023-03-01,2023
202303,288,GHA,Ghana,92439.0,2023-03-01,2023
202303,300,GRC,Greece,2510621.0,2023-03-01,2023
202303,308,GRD,Grenada,18540.0,2023-03-01,2023
202303,320,GTM,Guatemala,373273.0,2023-03-01,2023
202303,328,GUY,Guyana,115898.0,2023-03-01,2023
202303,332,HTI,Haiti,1861957.0,2023-03-01,2023
202303,340,HND,Honduras,59465.0,2023-03-01,2023
202303,344,HKG,"China, Hong Kong SAR",127030489.0,2023-03-01,2023
202303,348,HUN,Hungary,27023264.0,2023-03-01,2023
202303,352,ISL,Iceland,257924.0,2023-03-01,2023
202303,360,IDN,Indonesia,34385058.0,2023-03-01,2023
202303,364,IRN,Iran,1324283.0,2023-03-01,2023
202303,368,IRQ,Iraq,484542.0,2023-03-01,2023
202303,372,IRL,Ireland,3468895.0,2023-03-01,2023
202303,376,ISR,Israel,1871258.0,2023-03-01,2023
202303,380,ITA,Italy,105988470.0,2023-03-01,2023
202303,384,CIV,Côte d'Ivoire,595469.0,2023-03-01,2023
202303,388,JAM,Jamaica,577357.0,2023-03-01,2023
202303,392,JPN,Japan,178012723.0,2023-03-01,2023
202303,398,KAZ,Kazakhstan,3583707.0,2023-03-01,2023
202303,400,JOR,Jordan,725715.0,2023-03-01,2023
202303,404,KEN,Kenya,2094099.0,2023-03-01,2023
202303,410,KOR,Rep. of Korea,762999206.0,2023-03-01,2023
202303,414,KWT,Kuwait,241836.0,2023-03-01,2023
202303,417,KGZ,Kyrgyzstan,208247.0,2023-03-01,2023
202303,418,LAO,Lao People's Dem. Rep.,22397.0,2023-03-01,2023
202303,422,LBN,Lebanon,8723091.0,2023-03-01,2023
202303,428,LVA,Latvia,154218.0,2023-03-01,2023
202303,430,LBR,Liberia,52592.0,2023-03-01,2023
202303,434,LBY,Libya,90074.0,2023-03-01,2023
202303,440,LTU,Lithuania,896126.0,2023-03-01,2023
202303,442,LUX,Luxembourg,168596.0,2023-03-01,2023
202303,446,MAC,"China, Macao SAR",64413.0,2023-03-01,2023
202303,450,MDG,Madagascar,168559.0,2023-03-01,2023
202303,454,MWI,Malawi,261141.0,2023-03-01,2023
202303,458,MYS,Malaysia,25660337.0,2023-03-01,2023
202303,462,MDV,Maldives,1666.0,2023-03-01,2023
202303,466,MLI,Mali,1367325.0,2023-03-01,2023
202303,470,MLT,Malta,47760.0,2023-03-01,2023
202303,473,A79,"LAIA, nes",560210.0,2023-03-01,2023
202303,478,MRT,Mauritania,2691.0,2023-03-01,2023
202303,480,MUS,Mauritius,12719.0,2023-03-01,2023
202303,484,MEX,Mexico,47691361.0,2023-03-01,2023
202303,490,S19,"Other Asia, nes",31807636.0,2023-03-01,2023
202303,496,MNG,Mongolia,36264.0,2023-03-01,2023
202303,499,MNE,Montenegro,9660.0,2023-03-01,2023
202303,504,MAR,Morocco,2768403.0,2023-03-01,2023
202303,508,MOZ,Mozambique,1391959.0,2023-03-01,2023
202303,512,OMN,Oman,140673.0,2023-03-01,2023
202303,516,NAM,Namibia,340999.0,2023-03-01,2023
202303,524,NPL,Nepal,1411604.0,2023-03-01,2023
202303,528,NLD,Netherlands,350564853.0,2023-03-01,2023
202303,531,CUW,Curaçao,10680.0,2023-03-01,2023
202303,533,ABW,Aruba,11392.0,2023-03-01,2023
202303,540,NCL,New Caledonia,18329.0,2023-03-01,2023
202303,548,VUT,Vanuatu,35.0,2023-03-01,2023
202303,554,NZL,New Zealand,3839494.0,2023-03-01,2023
202303,558,NIC,Nicaragua,62544.0,2023-03-01,2023
202303,562,NER,Niger,388296.0,2023-03-01,2023
202303,566,NGA,Nigeria,6821316.0,2023-03-01,2023
202303,577,F19,"Other Africa, nes",219490.0,2023-03-01,2023
202303,579,NOR,Norway,4891665.0,2023-03-01,2023
202303,584,MHL,Marshall Isds,544.0,2023-03-01,2023
202303,586,PAK,Pakistan,3427367.0,2023-03-01,2023
202303,591,PAN,Panama,4057113.0,2023-03-01,2023
202303,598,PNG,Papua New Guinea,240057.0,2023-03-01,2023
202303,600,PRY,Paraguay,355340.0,2023-03-01,2023
202303,604,PER,Peru,1865650.0,2023-03-01,2023
202303,608,PHL,Philippines,10722969.0,2023-03-01,2023
202303,616,POL,Poland,96957667.0,2023-03-01,2023
202303,620,PRT,Portugal,5806780.0,2023-03-01,2023
202303,626,TLS,Timor-Leste,1566.0,2023-03-01,2023
202303,634,QAT,Qatar,294308.0,2023-03-01,2023
202303,642,ROU,Romania,4596636.0,2023-03-01,2023
202303,643,RUS,Russian Federation,23174627.0,2023-03-01,2023
202303,646,RWA,Rwanda,652370.0,2023-03-01,2023
