typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,276,DEU,Germany,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,30076800.0,False,5,u,30076800.0,False,29823200.0,False,0.0,False,,927673812.0,927673812.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,288,GHA,Ghana,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,5493.0,False,5,u,5493.0,False,263882.0,False,0.0,False,,6101774.0,6101774.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,296,KIR,Kiribati,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2640.0,False,5,u,2640.0,False,18960.0,False,0.0,False,,333146.0,333146.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,300,GRC,Greece,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,132944.0,False,5,u,132944.0,False,392339.0,False,0.0,False,,8730706.0,8730706.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,308,GRD,Grenada,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2.0,False,5,u,2.0,False,134.0,False,0.0,False,,3600.0,3600.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,320,GTM,Guatemala,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,33750.0,False,5,u,33750.0,False,8569.0,False,0.0,False,,135977.0,135977.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,324,GIN,Guinea,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,208.0,False,5,u,208.0,False,75.0,False,0.0,False,,1496.0,1496.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,328,GUY,Guyana,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,188.0,False,5,u,188.0,False,2518.0,False,0.0,False,,73149.0,73149.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,332,HTI,Haiti,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,117.0,False,5,u,117.0,False,7468.0,False,0.0,False,,189469.0,189469.0,0,True,False
C,M,20230101,2023,1,202301,156,CHN,China,X,Export,340,HND,Honduras,0,W00,World,H6,HS,True,850760,"Electric accumulators; lithium-ion, including separators, whether or not rectangular (including square)",6,True,C00,TOTAL CPC,0,0,TOTAL MOT,5,u,2320.0,False,5,u,2320.0,False,1664.0,False,0.0,False,,32316.0,32316.0,0,True,False
