opportunity_rank,destination_code,destination,export_2024,monthly_cv_2024,active_month_ratio_2024,h2_h1_momentum_2024,growth_2024,export_2023,H1,H2,log_export_2024,growth_log_ratio,momentum_log_ratio,growth_symmetric_2024,momentum_symmetric_2024,cluster,segment,scale_score,growth_score,momentum_score,activity_score,stability_score,market_scale,growth_momentum,growth_quality,size_score,opportunity_score,market_segment,decision_tier
51,752,Sweden,144352878.0,0.4101053763388728,1.0,0.35960384487941766,0.0749385526810999,134289423.0,61176743.0,83176135.0,18.787771408453477,0.07226349913013053,0.3071933624613905,0.07223206931527601,0.30480018555639743,1,成熟核心市场,80.20304568527918,40.816326530612244,54.123711340206185,64.54081632653062,80.61224489795919,80.20304568527918,47.461928934010146,72.46192893401016,80.10204081632652,63.6053545129392,成熟核心市场,重点候选
52,800,Uganda,13913583.0,0.6508267177176885,1.0,0.33466458284532224,1.4954521290715077,5575576.0,5959564.0,7954019.0,16.448376187074256,0.9144698193614751,0.2886799694040434,0.8556559059321134,0.2866917888799743,1,成熟核心市场,55.32994923857868,81.12244897959184,52.57731958762887,64.54081632653062,65.3061224489796,55.32994923857868,66.751269035533,64.84771573604061,55.10204081632652,63.576688407321704,成熟核心市场,重点候选
53,702,Singapore,150141136.0,0.2624563749910673,1.0,0.021849926705464776,0.1598745762808757,129446010.0,74259288.0,75881848.0,18.827086323012384,0.1483118743118368,0.021614637957164007,0.1480406112804628,0.021613796767862473,1,成熟核心市场,82.23350253807106,50.0,30.927835051546392,64.54081632653062,91.83673469387755,82.23350253807106,40.60913705583756,78.04568527918781,82.14285714285714,63.558015989901115,成熟核心市场,重点候选
54,643,Russian Federation,326426376.0,0.3322076633396299,1.0,0.11344314127060695,0.0355857258326861,315209420.0,154452405.0,171973971.0,19.603714989676376,0.03496718521565256,0.10745714268102091,0.034963622883658445,0.10735386162544659,1,成熟核心市场,85.27918781725889,38.265306122448976,42.78350515463917,64.54081632653062,86.73469387755102,85.27918781725889,40.609137055837564,75.50761421319797,85.20408163265306,63.14853776562171,成熟核心市场,重点候选
55,705,Slovenia,371241729.0,0.5158229367142376,1.0,-0.14483043547309152,0.2606442949664493,294485709.0,200112020.0,171129709.0,19.732363971738792,0.23162293478035423,-0.15645550777797723,0.2305929292342011,-0.15613714049909513,1,成熟核心市场,86.29441624365482,56.63265306122449,23.195876288659793,64.54081632653062,75.51020408163265,86.29441624365482,40.101522842639596,69.92385786802029,86.22448979591837,62.44529770671155,成熟核心市场,重点候选
56,191,Croatia,14542584.0,0.25539001573685993,1.0,0.40532318888521335,0.1976619599393139,12142478.0,6046000.0,8496584.0,16.492591799687226,0.1803712759493159,0.34026725630546295,0.17988386161516132,0.3370218112544511,1,成熟核心市场,56.852791878172596,54.08163265306123,57.21649484536082,64.54081632653062,93.36734693877551,56.852791878172596,55.58375634517766,78.80710659898477,56.63265306122449,62.41268672417421,成熟核心市场,重点候选
57,591,Panama,51771591.0,0.4079259916127054,1.0,-0.009793154398592928,0.3052772398538488,39663291.0,26013171.0,25758420.0,17.762352139805696,0.2664154566473904,-0.009841422346259066,0.26485078200243095,-0.00984134329578552,1,成熟核心市场,74.61928934010153,60.71428571428571,29.896907216494846,64.54081632653062,81.12244897959184,74.61928934010153,45.43147208121828,72.71573604060913,74.48979591836735,62.12734062697243,成熟核心市场,重点候选
58,170,Colombia,37620656.0,0.32267201355316777,1.0,0.5011656944180632,-0.0113199006585672,38051394.0,15041249.0,22579407.0,17.443063845799497,-0.011384458086890703,0.4062419137156432,-0.011384335431642198,0.4007456967257562,1,成熟核心市场,69.54314720812182,36.734693877551024,61.34020618556701,64.54081632653062,87.75510204081633,69.54314720812182,48.984771573604064,76.01522842639594,69.38775510204081,61.88538817588891,成熟核心市场,重点候选
59,214,Dominican Rep.,23300139.0,1.2319923916869362,1.0,3.3949244020468177,0.1825196521667107,19703807.0,4318900.0,18981239.0,16.96396992710157,0.16764745258090485,1.4804501512329153,0.1672559071672167,1.2585623630828984,0,加速扩张机会市场,63.45177664974619,52.55102040816326,89.17525773195877,64.54081632653062,36.224489795918366,63.45177664974619,70.55837563451777,50.38071065989847,63.26530612244898,61.840153587208086,高增长机会市场,重点候选
60,834,United Rep. of Tanzania,22244334.0,0.3951516596752398,1.0,0.1588532666626099,0.3276002600968828,16755295.0,10303773.0,11940561.0,16.91759792741715,0.2833729820514037,0.14743093964183274,0.2814918572686935,0.14716448692057943,1,成熟核心市场,62.43654822335025,61.73469387755102,44.84536082474227,64.54081632653062,81.63265306122449,62.43654822335025,53.299492385786806,72.96954314720813,62.244897959183675,61.77519461392805,成熟核心市场,重点候选
61,144,Sri Lanka,10341816.0,0.8158226432710028,1.0,0.5030462096400216,0.8302404927827034,5650523.0,4131692.0,6210124.0,16.151706136945158,0.604447294760103,0.4074937742308311,0.5866925407221545,0.4019472015359778,4,一般稳定市场,52.79187817258884,72.44897959183673,61.855670103092784,64.54081632653062,59.183673469387756,52.79187817258884,67.00507614213197,61.80203045685279,52.55102040816326,61.580317694087945,常规培育市场,培育候选
